Reference Designators,Quantity,Description,Package,Value,Digikey
"C1, C2",2,1 µF ±20% 10V Ceramic Capacitor X7R 1206 (3216 Metric),CAPC3216X135,1uF,4713-GMC31X7R105M10NTCT-ND
"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17",15,0.1 µF ±20% 16V Ceramic Capacitor X7R 0805 (2012 Metric),CAPC2012X110,100nF,399-C0805C104K5RACTUCT-ND
C18,1,22 µF ±20% 25V Ceramic Capacitor X5R 1206 (3216 Metric),CAPC3216X135,22uF,587-3246-1-ND
"D1, D2, D3, D4, D5, D6, D7, D8",8,"Addressable Lighting - LED Red, Green, Blue (RGB) 4.00mm L x 2.00mm W",LED_SK6812_SIDE-A,SK6812_SIDE-A,3147-T4203GRB-12C-61013TU1930CT-ND
"J1, J2",2,"6 Position Header Connector 0.079"" (2.00mm) Through Hole Gold",CONN3X2_NPPN032AFCN-RC_SUL,NPPN032AFCN-RCCONN3X2_NPPN032AFCN-RC_SUL,S5750-03-ND
"MAG1, MAG2, MAG3",3,Hall Effect Sensor Axis PG-TSOP6-6-8 (TLI493D-A2B6),SOP95P280X110-6N-V,TLI493D-A2B6,TLI493DA2B6HTSA1CT-ND
"R1, R2",2,"10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film",RESC2012X65,10K,RMCF0805FT10K0CT-ND
RN1,1,"10k Ohm ±5% 62.5mW Power Per Element Isolated 4 Resistor Network/Array ±200ppm/°C 1206 (3216 Metric), Convex, Long Side Terminals",RESCAF80P320X160X60-8N,CAY16-103J4LF,CAY16-103J4LFCT-ND
"S1, S2",2,"Tactile Switch SPST-NO Side Actuated Surface Mount, Right Angle",SW_TS32-7-35-BK-160-RA-SMT-TR,TS32-7-35-BK-160-RA-SMT-TR,2223-TS32-7-35-BK-160-RA-SMT-TRCT-ND
"U1, U2, U3, U4",4,Power Switch/Driver 1:1 N/P-Channel 1A TSOT-25,SOT95P280X100-5N,AP22816BKEWT-7,31-AP22816AKEWT-7CT-ND
U5,1,"Buffer, Non-Inverting 1 Element 1 Bit per Element 3-State Output SOT-23-5",SOT95P280X145-5N,SN74AHCT1G125DBVR,296-4708-1-ND
"H1, H2",2,"Connector Header Through Hole 6 position 0.079"" (2.00mm)",CONN3X2_NRPN032PAEN,NRPN032PAEN-RC,S5801-03-ND